Wall time,Step,Value
1580010190.8158638,222600,0.00047090050065889955
1580010359.0609577,223200,0.0004703728191088885
1580010499.2714813,223700,0.0004699330893345177
1580010527.311689,223800,0.00046984513755887747
1580010583.4151695,224000,0.0004696692631114274
1580010667.5800629,224300,0.0004694054077845067
1580010723.668889,224500,0.00046922953333705664
1580010779.8199587,224700,0.00046905362978577614
1580010807.8488457,224800,0.0004689656780101359
1580011004.141454,225500,0.00046835007378831506
1580011088.2604105,225800,0.0004680862184613943
1580011228.520472,226300,0.0004676464886870235
1580011761.614486,228200,0.0004659755213651806
1580012042.2725751,229200,0.00046509606181643903
1580012210.5744092,229800,0.00046456840937025845
1580012378.916992,230400,0.0004640407278202474
1580012491.1494207,230800,0.00046368894982151687
1580012519.187128,230900,0.0004636009980458766
1580012827.9010692,232000,0.0004626335867214948
1580012855.9828289,232100,0.00046254563494585454
1580013276.8089678,233600,0.0004612264456227422
1580013557.4946992,234600,0.0004603469860740006
1580013810.0200603,235500,0.00045955547830089927
1580014287.2801073,237200,0.00045806041453033686
1580014792.632899,239000,0.00045647736988030374
1580014820.7070856,239100,0.00045638944720849395
1580014876.819993,239300,0.00045621354365721345
1580015157.3807404,240300,0.00045533408410847187
1580015269.620372,240700,0.00045498230610974133
1580015802.6860764,242600,0.0004533113387878984
1580016111.1952448,243700,0.0004523439274635166
1580016335.5678418,244500,0.0004516403714660555
1580016503.8680053,245100,0.0004511126899160445
1580016531.9236016,245200,0.0004510247381404042
1580016588.0752282,245400,0.0004508488636929542
1580016644.1795754,245600,0.0004506729601416737
1580016784.458668,246100,0.0004502332303673029
1580017486.3791192,248600,0.00044803458149544895
1580017514.4686704,248700,0.0004479466297198087
1580017795.4020414,249700,0.0004470671701710671
1580017851.5599613,249900,0.0004468912957236171
1580017992.0280075,250400,0.0004464515659492463
1580018385.1931403,251800,0.00044522032840177417
1580018553.611362,252400,0.00044469264685176313
1580018750.11378,253100,0.00044407701352611184
1580018806.2467275,253300,0.0004439011390786618
1580018862.3737688,253500,0.0004437252355273813
1580019227.215877,254800,0.00044258194975554943
1580019339.4768991,255200,0.0004422301717568189
1580019395.6354566,255400,0.0004420542682055384
1580019760.4444463,256700,0.0004409109824337065
1580020097.216603,257900,0.00043985561933368444
1580020434.0140545,259100,0.0004388002853374928
1580020462.085806,259200,0.0004387123335618526
1580020490.1516845,259300,0.0004386243817862123
1580020714.7560031,260100,0.00043792082578875124
1580020883.2189324,260700,0.0004373931442387402
1580021360.431198,262400,0.0004358980804681778
1580021528.9359715,263000,0.00043537039891816676
1580021556.9922485,263100,0.0004352824471425265
1580021781.5880358,263900,0.0004345788911450654
1580021950.0512397,264500,0.0004340512095950544
1580022118.547683,265100,0.00043352352804504335
1580022258.8472953,265600,0.00043308379827067256
1580022904.5472956,267900,0.0004310610529500991
1580022960.6846917,268100,0.0004308851493988186
1580023101.0937948,268600,0.0004304454196244478
1580023241.3966146,269100,0.00043000568985007703
1580023606.9039242,270400,0.00042886240407824516
1580023803.782547,271100,0.0004282467707525939
1580024224.9282517,272600,0.00042692761053331196
1580024561.0705028,273800,0.0004258722474332899
1580024644.9891157,274100,0.0004256084212101996
1580025036.0011294,275500,0.000424377154558897
1580025063.911929,275600,0.0004242892318870872
1580025119.7342803,275800,0.00042411332833580673
1580026011.5025122,279000,0.00042129907524213195
1580026039.395328,279100,0.0004212111234664917
1580026067.2861588,279200,0.00042112317169085145
1580026262.4007297,279900,0.00042050753836520016
1580026569.1206322,281000,0.0004195401561446488
1580026987.5367785,282500,0.0004182209668215364
1580027071.233296,282800,0.0004179571114946157
1580027126.997296,283000,0.00041778123704716563
